HandRight X=0.07  Y=0.20  Z=1025.92  | convert 0.6 0.7 
HandRight X=0.08  Y=0.20  Z=1024.86  | convert 0.6 0.7 
HandRight X=0.08  Y=0.20  Z=1023.63  | convert 0.6 0.7 
HandRight X=0.08  Y=0.20  Z=1022.07  | convert 0.6 0.7 
HandRight X=0.08  Y=0.20  Z=1019.95  | convert 0.6 0.7 
HandRight X=0.09  Y=0.20  Z=1016.98  | convert 0.6 0.7 
HandRight X=0.09  Y=0.20  Z=1012.10  | convert 0.6 0.7 
HandRight X=0.10  Y=0.20  Z=1005.82  | convert 0.6 0.7 
HandRight X=0.12  Y=0.21  Z=997.61  | convert 0.6 0.7 
HandRight X=0.13  Y=0.21  Z=987.86  | convert 0.6 0.7 
HandRight X=0.15  Y=0.22  Z=970.63  | convert 0.6 0.7 
HandRight X=0.16  Y=0.23  Z=959.83  | convert 0.7 0.7 
HandRight X=0.17  Y=0.23  Z=947.25  | convert 0.7 0.7 
HandRight X=0.19  Y=0.23  Z=932.64  | convert 0.7 0.7 
HandRight X=0.20  Y=0.24  Z=913.16  | convert 0.7 0.7 
HandRight X=0.22  Y=0.24  Z=893.04  | convert 0.7 0.7 
HandRight X=0.23  Y=0.24  Z=873.78  | convert 0.7 0.7 
HandRight X=0.24  Y=0.24  Z=859.51  | convert 0.7 0.7 
HandRight X=0.25  Y=0.24  Z=847.14  | convert 0.7 0.7 
HandRight X=0.26  Y=0.20  Z=836.31  | convert 0.8 0.7 
HandRight X=0.29  Y=0.15  Z=847.95  | convert 0.8 0.6 
HandRight X=0.30  Y=0.12  Z=856.42  | convert 0.8 0.6 
HandRight X=0.30  Y=0.11  Z=858.89  | convert 0.8 0.6 
HandRight X=0.31  Y=0.10  Z=860.10  | convert 0.8 0.6 
HandRight X=0.31  Y=0.09  Z=862.33  | convert 0.8 0.6 
HandRight X=0.32  Y=0.08  Z=863.87  | convert 0.8 0.6 
HandRight X=0.32  Y=0.08  Z=864.96  | convert 0.8 0.6 
HandRight X=0.32  Y=0.08  Z=865.66  | convert 0.8 0.6 
